"Which phone is best for parents?",best_for_parents
"Which phone is best for kids?",best_for_kids
"Which phone is best for business use?",best_for_business
"Which phone is best for photography?",best_for_photography
"Which phone is best for YouTube creators?",best_for_youtube
"Which phone is best for gamers?",best_for_gamers
"Which phone is best for travelers?",best_for_travelers
"Suggest me a phone with good battery.",suggest_good_battery
"Can you recommend a budget-friendly phone with good battery?",recommend_budget_battery
"Suggest me a phone with good camera.",suggest_good_camera
"Can you recommend a budget-friendly phone with good camera?",recommend_budget_camera
"Suggest me a phone with good gaming.",suggest_good_gaming
"Can you recommend a budget-friendly phone with good gaming?",recommend_budget_gaming
"Suggest me a phone with good design.",suggest_good_design
"Can you recommend a budget-friendly phone with good design?",recommend_budget_design
"Suggest me a phone with good durability.",suggest_good_durability
"Can you recommend a budget-friendly phone with good durability?",recommend_budget_durability
"Suggest me a phone with good performance.",suggest_good_performance
"Can you recommend a budget-friendly phone with good performance?",recommend_budget_performance
"Suggest me a phone with good software.",suggest_good_software
"Can you recommend a budget-friendly phone with good software?",recommend_budget_software
"Suggest me a phone with good updates.",suggest_good_updates
"Can you recommend a budget-friendly phone with good updates?",recommend_budget_updates
"Suggest me a phone with good charging speed.",suggest_good_charging
"Can you recommend a budget-friendly phone with good charging speed?",recommend_budget_charging
"Suggest me a phone with good display.",suggest_good_display
"Can you recommend a budget-friendly phone with good display?",recommend_budget_display
"Suggest me a phone with good selfies.",suggest_good_selfies
"Can you recommend a budget-friendly phone with good selfies?",recommend_budget_selfies
"Suggest me a phone with good value for money.",suggest_good_value
"Can you recommend a budget-friendly phone with good value for money?",recommend_budget_value